California ,Orientation
Alameda,Plaintiff
Alpine,Defense
Amador,Neutral
Butte,Neutral
Calaveras,Neutral
Colusa,Defense
Contra Costa,Defense
Del Norte,Neutral
El Dorado,Defense
Fresno,Neutral
Glenn,Neutral
Humboldt,Defense
Imperial,Neutral
Inyo,Neutral
Kern,Neutral
Kings,Neutral
Lake,Neutral
Lassen,Defense
Los Angeles,Plaintiff
Madera,Neutral
Marin,Plaintiff
Mariposa,Defense
Mendocino,Defense
Merced,Defense
Modoc,Neutral
Mono,Neutral
Monterey,Defense
Napa,Defense
Nevada,Neutral
Orange,Defense
Placer,Defense
Plumas,Neutral
Riverside,Plaintiff
Sacramento,Neutral
San Benito,Defense
San Bernardino,Neutral
San Diego,Neutral
San Francisco,Plaintiff
San Joaquin,Defense
San Luis Obispo,Defense
San Mateo,Defense
Santa Barbara,Defense
Santa Clara,Defense
Santa Cruz,Plaintiff
Shasta,Neutral
Sierra,Neutral
Siskiyou,Neutral
Solano,Defense
Sonoma,Defense
Stanislaus,Defense
Sutter,Defense
Tehama,Neutral
Trinity,Neutral
Tulare,Neutral
Tuolumne,Neutral
Ventura,Defense
Yolo,Defense
Yuba,Neutral
