Florida ,Orientation
Alachua,Neutral
Baker,Neutral
Bay,Defense
Bradford,Defense
Brevard,Plaintiff
Broward,Plaintiff
Calhoun,Defense
Charlotte,Defense
Citrus,Neutral
Clay,Neutral
Collier,Neutral
Columbia,Neutral
Dade,Plaintiff
DeSoto,Neutral
Dixie,Neutral
Duval,Plaintiff
Escambia,Neutral
Flagler,Defense
Franklin,Defense
Gadsden,Plaintiff
Gilchrist,Neutral
Glades,Neutral
Gulf,Defense
Hamilton,Defense
Hardee,Defense
Hendry,Defense
Hernando,Neutral
Highlands,Neutral
Hillsborough,Neutral
Holmes,Neutral
Indian River,Neutral
Jackson,Neutral
Jefferson,Defense
Lafayette,Neutral
Lake,Defense
Lee,Neutral
Leon,Neutral
Levy,Defense
Liberty,Defense
Madison,Defense
Manatee,Defense
Marion,Neutral
Martin,Plaintiff
Miami-Dade,Neutral
Monroe,Plaintiff
Nassau,Plaintiff
Okaloosa,Neutral
Okeechobee,Neutral
Orange,Plaintiff
Osceola,Plaintiff
Palm Beach,Plaintiff
Pasco,Defense
Pinellas,Neutral
Polk,Neutral
Putnam,Neutral
St. Johns,Neutral
St. Lucie,Neutral
Santa Rosa,Neutral
Sarasota,Neutral
Seminole,Neutral
Sumter,Defense
Suwannee,Neutral
Taylor,Neutral
Union,Defense
Volusia,Defense
Wakulla,Defense
Walton,Defense
Washington,Defense
