Georgia ,Orientation
Appling,Neutral
Atkinson,Neutral
Bacon,Neutral
Baker,Neutral
Baldwin,Neutral
Banks,Neutral
Barrow,Plaintiff
Bartow,Plaintiff
Ben Hill,Neutral
Berrien,Neutral
Bibb,Plaintiff
Bleckley,Neutral
Brantley,Neutral
Brooks,Neutral
Bryan,Neutral
Bulloch,Plaintiff
Burke,Neutral
Butts,Neutral
Calhoun,Neutral
Camden,Plaintiff
Candler,Neutral
Carroll,Plaintiff
Catoosa,Plaintiff
Charlton,Neutral
Chatham,Plaintiff
Chattahoochee,Plaintiff
Chattooga,Neutral
Cherokee,Defense
Clarke,Plaintiff
Clay,Neutral
Clayton,Plaintiff
Clinch,Neutral
Cobb,Plaintiff
Coffee,Neutral
Colquitt,Neutral
Columbia,Neutral
Cook,Neutral
Coweta,Plaintiff
Crawford,Neutral
Crisp,Defense
Dade,Plaintiff
Dawson,Defense
De Kalb,Plaintiff
Decatur,Plaintiff
Dodge,Plaintiff
Dooly,Plaintiff
Dougherty,Plaintiff
Douglas,Plaintiff
Early,Neutral
Echols,Neutral
Effingham,Plaintiff
Elbert,Neutral
Emanuel,Neutral
Evans,Neutral
Fannin,Defense
Fayette,Plaintiff
Floyd,Plaintiff
Forsyth,Neutral
Franklin,Neutral
Fulton,Plaintiff
Gilmer,Plaintiff
Glascock,Neutral
Glynn,Plaintiff
Gordon,Plaintiff
Grady,Plaintiff
Greene,Defense
Gwinnett,Plaintiff
Habersham,Plaintiff
Hall,Plaintiff
Hancock,Neutral
Haralson,Plaintiff
Harris,Plaintiff
Hart,Defense
Heard,Neutral
Henry,Plaintiff
Houston,Plaintiff
Irwin,Neutral
Jackson,Neutral
Jasper,Neutral
Jeff Davis,Neutral
Jefferson,Neutral
Jenkins,Neutral
Johnson,Neutral
Jones,Plaintiff
Lamar,Neutral
Lanier,Neutral
Laurens,Plaintiff
Lee,Defense
Liberty,Plaintiff
Lincoln,Neutral
Long,Neutral
Lowndes,Plaintiff
Lumpkin,Neutral
Macon,Neutral
Madison,Neutral
Marion,Neutral
McDuffie,Neutral
McIntosh,Plaintiff
Meriwether,Plaintiff
Miller,Neutral
Mitchell,Neutral
Monroe,Defense
Montgomery,Neutral
Morgan,Neutral
Murray,Neutral
Muscogee,Plaintiff
Newton,Plaintiff
Oconee,Defense
Oglethorpe,Neutral
Paulding,Neutral
Peach,Plaintiff
Pickens,Neutral
Pierce,Neutral
Pike,Plaintiff
Polk,Plaintiff
Pulaski,Neutral
Putnam,Neutral
Quitman,Neutral
Rabun,Plaintiff
Randolph,Neutral
Richmond,Plaintiff
Rockdale,Plaintiff
Schley,Neutral
Screven,Neutral
Seminole,Neutral
Spalding,Plaintiff
Stephens,Defense
Stewart,Neutral
Sumter,Neutral
Talbot,Neutral
Taliaferro,Neutral
Tattnall,Neutral
Taylor,Neutral
Telfair,Neutral
Terrell,Neutral
Thomas,Plaintiff
Tift,Plaintiff
Toombs,Neutral
Towns,Neutral
Treutlen,Neutral
Troup,Plaintiff
Turner,Neutral
Twiggs,Plaintiff
Union,Neutral
Upson,Neutral
Walker,Neutral
Walton,Defense
Ware,Neutral
Warren,Neutral
Washington,Neutral
Wayne,Neutral
Webster,Defense
Wheeler,Neutral
White,Neutral
Whitfield,Plaintiff
Wilcox,Neutral
Wilkes,Neutral
Wilkinson,Neutral
Worth,Neutral
