Kansas ,Orientation
Allen,Defense
Anderson,Defense
Atchison,Neutral
Barber,Defense
Barton,Defense
Bourbon,Neutral
Brown,Defense
Butler,Neutral
Chase,Defense
Chautauqua,Defense
Cherokee,Plaintiff
Cheyenne,Defense
Clark,Defense
Clay,Defense
Cloud,Defense
Coffey,Defense
Comanche,Defense
Cowley,Defense
Crawford,Plaintiff
Decatur,Defense
Dickinson,Neutral
Doniphan,Neutral
Douglas,Plaintiff
Edwards,Defense
Elk,Defense
Ellis,Neutral
Ellsworth,Defense
Finney,Plaintiff
Ford,Defense
Franklin,Defense
Geary,Plaintiff
Gove,Defense
Graham,Defense
Grant,Defense
Gray,Defense
Greeley,Defense
Greenwood,Defense
Hamilton,Defense
Harper,Defense
Harvey,Defense
Haskell,Defense
Hodgeman,Defense
Jackson,Defense
Jefferson,Defense
Jewell,Defense
Johnson,Neutral
Kearny,Defense
Kingman,Defense
Kiowa,Defense
Labette,Plaintiff
Lane,Defense
Leavenworth,Neutral
Lincoln,Defense
Linn,Defense
Logan,Defense
Lyon,Plaintiff
Marion,Defense
Marshall,Defense
McPherson,Defense
Meade,Defense
Miami,Neutral
Mitchell,Defense
Montgomery,Defense
Morris,Defense
Morton,Defense
Nemaha,Defense
Neosho,Defense
Ness,Defense
Norton,Defense
Osage,Defense
Osborne,Defense
Ottawa,Defense
Pawnee,Defense
Phillips,Defense
Pottawatomie,Defense
Pratt,Defense
Rawlins,Defense
Reno,Neutral
Republic,Defense
Rice,Defense
Riley,Defense
Rooks,Defense
Rush,Defense
Russell,Defense
Saline,Defense
Scott,Defense
Sedgwick,Plaintiff
Seward,Defense
Shawnee,Plaintiff
Sheridan,Defense
Sherman,Defense
Smith,Defense
Stafford,Defense
Stanton,Defense
Stevens,Neutral
Sumner,Defense
Thomas,Defense
Trego,Defense
Wabaunsee,Defense
Wallace,Defense
Washington,Defense
Wichita,Defense
Wilson,Defense
Woodson,Defense
Wyandotte,Plaintiff
