Kentucky,Orientation
Adair,Neutral
Allen,Neutral
Anderson,Defense 
Ballard,Neutral
Barren,Defense 
Bath,Defense 
Bell,Plaintiff
Boone,Defense 
Bourbon,Defense 
Boyd,Neutral
Boyle,Defense 
Bracken,Defense 
Breathitt,Plaintiff
Breckinridge,Defense 
Bullitt,Neutral
Butler,Neutral
Caldwell,Neutral
Calloway,Neutral
Campbell,Neutral
Carlisle,Neutral
Carroll,Neutral
Carter,Plaintiff
Casey,Neutral
Christian,Neutral
Clark,Defense 
Clay,Plaintiff
Clinton,Neutral
Crittenden,Neutral
Cumberland,Neutral
Daviess,Neutral
Edmonson,Defense 
Elliott,Plaintiff
Estill,Neutral
Fayette,Defense 
Fleming,Defense 
Floyd,Plaintiff
Franklin,Neutral
Fulton,Neutral
Gallatin,Neutral
Garrard,Defense 
Grant,Defense 
Graves,Neutral
Grayson,Defense 
Green,Defense 
Greenup,Neutral
Hancock,Defense 
Hardin,Defense 
Harlan,Plaintiff
Harrison,Defense 
Hart,Defense 
Henderson,Neutral
Henry,Defense 
Hickman,Neutral
Hopkins,Neutral
Jackson,Plaintiff
Jefferson,Neutral
Jessamine,Defense 
Johnson,Plaintiff
Kenton,Neutral
Knott,Plaintiff
Knox,Plaintiff
Larue,Defense 
Laurel,Plaintiff
Lawrence,Plaintiff
Lee,Plaintiff
Leslie,Plaintiff
Letcher,Plaintiff
Lewis,Defense 
Lincoln,Neutral
Livingston,Neutral
Logan,Neutral
Lyon,Neutral
McCracken,Neutral
McCreary,Plaintiff
McLean,Neutral
Madison,Neutral
Magoffin,Plaintiff
Marion,Defense 
Marshall,Neutral
Martin,Plaintiff
Mason,Defense 
Meade,Defense 
Menifee,Neutral
Mercer,Defense 
Metcalfe,Neutral
Monroe,Defense 
Montgomery,Defense 
Morgan,Plaintiff
Muhlenberg,Neutral
Nelson,Neutral
Nicholas,Defense 
Ohio,Neutral
Oldham,Defense 
Owen,Defense 
Owsley,Plaintiff
Pendleton,Defense 
Perry,Plaintiff
Pike,Plaintiff
Powell,Plaintiff
Pulaski,Plaintiff
Robertson,Defense 
Rockcastle,Neutral
Rowan,Defense 
Russell,Neutral
Scott,Defense 
Shelby,Neutral
Simpson,Defense 
Spencer,Defense 
Taylor,Defense 
Todd,Neutral
Trigg,Neutral
Trimble,Neutral
Union,Neutral
Warren,Defense 
Washington,Defense 
Wayne,Plaintiff
Webster,Neutral
Whitley,Plaintiff
Wolfe,Plaintiff
Woodford,Defense 
