New Mexico ,Orientation
Bernalillo,Neutral
Catron,Defense
Chaves,Defense
Cibola,Neutral
Colfax,Defense
Curry,Defense
De Baca,Neutral
Dona Ana,Neutral
Eddy,Defense
Grant,Neutral
Guadalupe,Neutral
Harding,Neutral
Hidalgo,Neutral
Lea,Defense
Lincoln,Defense
Los Alamos,Neutral
Luna,Neutral
McKinley,Plaintiff
Mora,Plaintiff
Otero,Neutral
Quay,Defense
Rio Arriba,Plaintiff
Roosevelt,Defense
Sandoval,Neutral
San Juan,Defense
San Miguel,Plaintiff
Santa Fe,Plaintiff
Sierra,Defense
Socorro,Neutral
Taos,Plaintiff
Torrance,Neutral
Union,Defense
Valencia,Neutral
