New York ,Orientation
Albany,Neutral
Allegany,Defense
Bronx,Plaintiff
Broome,Neutral
Cattaraugus,Neutral
Cayuga,Neutral
Chautauqua,Neutral
Chemung,Defense
Chenango,Defense
Clinton,Defense
Columbia,Neutral
Cortland,Neutral
Delaware,Neutral
Dutchess,Neutral
Erie,Plaintiff
Essex,Defense
Franklin,Defense
Fulton,Defense
Genesee,Defense
Greene,Neutral
Hamilton,Defense
Herkimer,Defense
Jefferson,Neutral
Kings,Plaintiff
Lewis,Defense
Livingston,Defense
Madison,Defense
Monroe,Neutral
Montgomery,Defense
Nassau,Neutral
New York City,Neutral
Niagara,Plaintiff
Oneida,Neutral
Onondaga,Neutral
Ontario,Neutral
Orange,Defense
Orleans,Defense
Oswego,Neutral
Otsego,Defense
Putnam,Neutral
Queens,Plaintiff
Rensselaer,Neutral
Richmond,Defense
Rockland,Defense
St. Lawrence,Defense
Saratoga,Neutral
Schenectady,Neutral
Schoharie,Defense
Schuyler,Defense
Seneca,Defense
Steuben,Defense
Suffolk,Defense
Sullivan,Defense
Tioga,Defense
Tompkins,Neutral
Ulster,Neutral
Warren,Defense
Washington,Defense
Wayne,Defense
Westchester,Defense
Wyoming,Defense
Yates,Defense
