Oregon ,Orientation
Baker,Defense
Benton,Defense
Clackamas,Neutral
Clatsop,Neutral
Columbia,Neutral
Coos,Neutral
Crook,Defense
Curry,Defense
Deschutes,Neutral
Douglas,Neutral
Gilliam,Defense
Grant,Defense
Harney,Defense
Hood River,Defense
Jackson,Neutral
Jefferson,Defense
Josephine,Defense
Klamath,Defense
Lake,Defense
Lane,Plaintiff
Lincoln,Neutral
Linn,Defense
Malheur,Defense
Marion,Neutral
Morrow,Defense
Multnomah,Plaintiff
Polk,Defense
Sherman,Defense
Tillamook,Neutral
Umatilla,Defense
Union,Defense
Wallowa,Defense
Wasco,Defense
Washington,Neutral
Wheeler,Defense
Yamhill,Defense
