South Carolina,Orientation
Abbeville,Neutral
Aiken,Defense
Allendale,Plaintiff
Anderson,Neutral
Bamberg,Neutral
Barnwell,Plaintiff
Beaufort,Neutral
Berkeley,Neutral
Calhoun,Plaintiff
Charleston,Neutral
Cherokee,Neutral
Chester,Neutral
Chesterfield,Neutral
Clarendon,Plaintiff
Colleton,Plaintiff
Darlington,Plaintiff
Dillon,Plaintiff
Dorchester,Neutral
Edgefield,Neutral
Fairfield,Plaintiff
Florence,Neutral
Georgetown,Neutral
Greenville,Defense
Greenwood,Defense
Hampton,Plaintiff
Horry,Neutral
Jasper,Plaintiff
Kershaw,Neutral
Lancaster,Neutral
Laurens,Defense
Lee,Plaintiff
Lexington,Defense
McCormick,Neutral
Marion,Plaintiff
Marlboro,Plaintiff
Newberry,Defense
Oconee,Neutral
Orangeburg,Plaintiff
Pickens,Neutral
Richland,Plaintiff
Saluda,Neutral
Spartanburg,Defense
Sumter,Plaintiff
Union,Neutral
Williamsburg,Plaintiff
York,Neutral
