Tennessee ,Orientation,,
Anderson,Neutral,,
Bedford,Neutral,,
Benton,Neutral,,
Bledsoe,Neutral,,
Blount,Neutral,,
Bradley,Neutral,,
Campbell,Defense Oriented,,
Cannon,Neutral,,
Carroll,Neutral,,
Carter,Neutral,,
Cheatham,Neutral,,
Chester,Neutral,,
Claiborne,Defense Oriented,,
Clay,Defense Oriented,,
Cocke,Defense Oriented,,
Coffee,Defense Oriented,,
Crockett,Defense Oriented,,
Cumberland,Defense Oriented,,
Davidson,Plaintiff Oriented ,,
Decatur,Neutral,,
DeKalb,Neutral,,
Dickson,Neutral,,
Dyer,Defense Oriented,,
Fayette,Neutral,,
Fentress,Neutral,,
Franklin,Neutral,,
Gibson,Defense Oriented,,
Giles,Neutral,,
Grainger,Neutral,,
Greene,Neutral,,
Grundy,Defense Oriented,,
Hamblen,Neutral,,
Hamilton,Neutral,,
Hancock,Defense Oriented,,
Hardeman,Plaintiff Oriented ,,
Hardin,Neutral,,
Hawkins,Defense Oriented,,
Haywood,Plaintiff Oriented ,,
Henderson,Neutral,,
Henry,Defense Oriented,,
Hickman,Defense Oriented,,
Houston,Neutral,,
Humphreys,Neutral,,
Jackson,Neutral,,
Jefferson,Neutral,,
Johnson,Neutral,,
Knox,Defense Oriented,,
Lake,Defense Oriented,,
Lauderdale,Neutral,,
Lawrence,Neutral,,
Lewis,Neutral,,
Lincoln,Neutral,,
Loudon,Neutral,,
McMinn,Neutral,,
McNairy,Neutral,,
Macon,Defense Oriented,,
Madison,Plaintiff Oriented ,,
Marion,Neutral,,
Marshall,Neutral,,
Maury,Defense Oriented,,
Meigs,Neutral,,
Monroe,Defense Oriented,,
Montgomery,Defense Oriented,,
Moore,Neutral,,
Morgan,Neutral,,
Obion,Defense Oriented,,
Overton,Neutral,,
Perry,Neutral,,
Pickett,Defense Oriented,,
Polk,Defense Oriented,,
Putnam,Neutral,,
Rhea,Neutral,,
Roane,Neutral,,
Robertson,Defense Oriented,,
Rutherford,Neutral,,
Scott,Defense Oriented,,
Sequatchie,Neutral,,
Sevier,Defense Oriented,,
Shelby,Plaintiff Oriented ,,
Smith,Neutral,,
Stewart,Defense Oriented,,
Sullivan,Neutral,,
Sumner,Defense Oriented,,
Tipton,Neutral,,
Trousdale,Neutral,,
Unicoi,Neutral,,
Union,Neutral,,
Van Buren,Neutral,,
Warren,Neutral,,
Washington,Neutral,,
Wayne,Neutral,,
Weakley,Defense Oriented,,
White,Neutral,,
Williamson,Defense Oriented,,
Wilson,Neutral,,
