Virginia ,Orientation
Accomack,Neutral
Albemarle,Neutral
Alleghany,Neutral
Amelia,Neutral
Amherst,Defense 
Appomattox,Neutral
Arlington,Defense
Augusta,Defense 
Bath,Neutral
Bedford,Defense 
Bland,Defense 
Botetourt,Defense 
Brunswick,Neutral
Buchanan,Neutral
Buckingham,Neutral
Campbell,Neutral
Caroline,Defense
Carroll,Neutral
Charles City,Plaintiff 
Charlotte,Defense 
Chesapeake,Neutral
Chesterfield,Defense 
Clarke,Neutral
Craig,Neutral
Culpeper,Neutral
Cumberland,Neutral
Dickenson,Neutral
Dinwiddie,Neutral
Essex,Neutral
Fairfax,Neutral
Fauquier,Defense 
Floyd,Neutral
Fluvanna,Neutral
Franklin,Defense 
Frederick,Defense 
Giles,Neutral
Gloucester,Neutral
Goochland,Defense 
Grayson,Neutral
Greene,Defense 
Greensville,Neutral
Halifax,Neutral
Hanover,Defense 
Henrico,Defense
Henry,Neutral
Highland,Neutral
Isle Of Wight,Neutral
James City,Neutral
King And Queen,Neutral
King George,Neutral
King William,Neutral
Lancaster,Neutral
Lee,Neutral
Loudoun,Defense 
Louisa,Neutral
Lunenburg,Defense 
Madison,Defense 
Mathews,Neutral
Mecklenburg,Neutral
Middlesex,Neutral
Montgomery,Neutral
Nelson,Defense 
News Hampton,Neutral
New Kent,Neutral
Newport,Neutral
Northampton,Neutral
Northumberland,Neutral
Nottoway,Neutral
Orange,Defense 
Page,Neutral
Patrick,Neutral
Pittsylvania,Neutral
Powhatan,Defense 
Prince Edward,Neutral
Prince George,Neutral
Prince William,Neutral
Pulaski,Neutral
Rappahannock,Neutral
Richmond,Neutral
Roanoke,Neutral
Rockbridge,Defense 
Rockingham,Defense
Russell,Neutral
Scott,Defense 
Shenandoah,Defense 
Smyth,Defense 
Southampton,Neutral
Spotsylvania,Neutral
Stafford,Neutral
Suffolk,Neutral
Surry,Neutral
Sussex,Neutral
Tazewell,Neutral
Virginia Beach,Neutral
Warren,Neutral
Washington,Defense 
Westmoreland,Neutral
Wise,Neutral
Wythe,Neutral
York,Neutral
