Washington ,Orientation
Adams,Defense 
Asotin,Defense 
Benton,Neutral
Chelan,Neutral
Clallam,Neutral
Clark,Neutral
Columbia,Defense 
Cowlitz,Defense 
Douglas,Neutral
Ferry,Defense 
Franklin,Neutral
Garfield,Defense 
Grant,Neutral
Grays Harbor,Plaintiff 
Island,Defense 
Jefferson,Plaintiff 
King,Plaintiff 
Kitsap,Neutral
Kittitas,Defense
Klickitat,Defense 
Lewis,Plaintiff 
Lincoln,Defense 
Mason,Plaintiff 
Okanogan,Defense 
Pacific,Plaintiff 
Pend Oreille,Defense
Pierce,Plaintiff 
San Juan,Defense 
Skagit,Neutral
Skamania,Defense 
Snohomish,Plaintiff 
Spokane,Neutral
Stevens,Defense 
Thurston,Plaintiff 
Wahkiakum,Defense 
Walla Walla,Defense 
Whatcom,Neutral
Whitman,Defense
Yakima,Neutral
