Wisconsin ,Orientation
Adams,Defense 
Ashland,Defense 
Barron,Defense 
Bayfield,Defense 
Brown,Neutral
Buffalo,Defense 
Burnett,Neutral
Calumet,Defense 
Chippewa,Neutral
Clark,Defense 
Columbia,Defense 
Crawford,Defense 
Dane,Plaintiff 
Dodge,Defense
Door,Defense 
Douglas,Neutral
Dunn,Defense 
Eau Claire,Defense 
Florence,Defense 
Fond Du Lac,Neutral
Forest,Defense 
Grant,Defense 
Green,Defense 
Green Lake,Defense 
Iowa,Defense 
Iron,Defense 
Jackson,Defense 
Jefferson,Defense 
Juneau,Defense 
Kenosha,Neutral
Kewaunee,Defense 
La Crosse,Neutral
Lafayette,Defense 
Langlade,Defense 
Lincoln,Defense 
Manitowoc,Neutral
Marathon,Neutral
Marinette,Defense 
Marquette,Defense 
Menominee,Neutral
Milwaukee,Plaintiff 
Monroe,Defense 
Oconto,Defense 
Oneida,Defense 
Outagamie,Defense 
Ozaukee,Defense 
Pepin,Defense 
Pierce,Defense 
Polk,Neutral
Portage,Defense 
Price,Defense
Racine,Neutral
Richland,Defense
Rock,Neutral
Rusk,Defense 
St. Croix,Neutral
Sauk,Defense 
Sawyer,Defense 
Shawano,Defense 
Sheboygan,Defense 
Taylor,Defense 
Trempealeau,Defense 
Vernon,Defense 
Vilas,Defense 
Walworth,Neutral
Washburn,Defense
Washington,Defense 
Waukesha,Defense 
Waupaca,Defense 
Waushara,Defense 
Winnebago,Defense 
Wood,Defense 
